loss,mean_squared_error,mean_absolute_error,ssd_loss,mad_loss,val_loss,val_mean_squared_error,val_mean_absolute_error,val_ssd_loss,val_mad_loss 

356502.8750,256.4892,10.3523,131322.4375,4503.6089,232394.2969,176.2070,8.7007,90217.9531,2843.5271

348664.5000,252.7552,10.2778,129410.6719,4385.0757,229859.6094,173.5589,8.6274,88862.1250,2819.9495

346653.0625,249.8899,10.2139,127943.6172,4374.1885,227291.7500,171.0848,8.5587,87595.4062,2793.9265

340898.4375,246.3723,10.1368,126142.6250,4295.1157,224716.3594,168.6246,8.4904,86335.8281,2767.6106

341462.3125,244.4203,10.0901,125143.1406,4326.3838,222034.2656,165.9416,8.4172,84962.1016,2741.4436

335167.6875,241.8123,10.0233,123807.9141,4227.1953,218755.5781,162.6568,8.3292,83280.2656,2709.5063

329594.2188,238.2600,9.9376,121989.1016,4152.1025,214942.0156,158.8673,8.2283,81340.0547,2672.0391

327071.5000,234.7758,9.8623,120205.2109,4137.3257,210158.5781,154.1864,8.1034,78943.4141,2624.3035

322680.1562,230.4804,9.7881,118005.9531,4093.4834,204738.5625,148.9010,7.9595,76237.3359,2570.0247

316859.2500,226.6783,9.6812,116059.3203,4015.9990,198490.3594,142.8620,7.7935,73145.3438,2506.9001

312850.0312,223.6230,9.6082,114494.9531,3967.1008,191612.3281,136.2669,7.6098,69768.6484,2436.8738

310331.1562,219.2811,9.5149,112271.8984,3961.1843,184325.3594,129.3502,7.4136,66227.3203,2361.9609

309005.3438,215.5563,9.4340,110364.8125,3972.8115,176776.9219,122.2849,7.2092,62609.8789,2283.3408

298678.6562,211.2219,9.3360,108145.6250,3810.6611,169055.1562,115.1032,6.9948,58932.8672,2202.4458

295427.1562,207.4227,9.2455,106200.4219,3784.5352,161393.0938,108.0858,6.7792,55339.9141,2121.0637

289168.5938,203.4808,9.1629,104182.1641,3699.7280,153959.1719,101.3795,6.5667,51906.3242,2041.0570

286785.2812,200.4340,9.0828,102622.2031,3683.2617,146699.2656,94.9842,6.3577,48631.8906,1961.3475

284322.1250,197.2557,8.9970,100994.8984,3666.5444,139593.8438,88.9451,6.1548,45539.8672,1881.0798

276504.0938,193.5692,8.9233,99107.4141,3547.9333,132801.3594,83.4409,5.9653,42721.7148,1801.5931

274439.1250,189.2332,8.8441,96887.3750,3551.0352,126437.9531,78.4878,5.7900,40185.7500,1725.0441

272171.1562,186.6537,8.7617,95566.6797,3532.0891,120406.9922,74.0034,5.6266,37889.7539,1650.3448

270532.3125,184.5284,8.7208,94478.5469,3521.0759,114886.6406,70.0700,5.4804,35875.8281,1580.2162

264921.0312,180.7774,8.6339,92558.0312,3447.2598,109813.4531,66.6390,5.3530,34119.1484,1513.8860

258767.0781,178.5204,8.5907,91402.4531,3347.2925,105051.7344,63.4949,5.2373,32509.3672,1450.8474

254481.2812,175.8727,8.5326,90046.8359,3288.6890,101373.9688,60.8673,5.1446,31164.0742,1404.1976

251271.0625,173.7160,8.4917,88942.5781,3246.5691,98931.1797,58.5656,5.0664,29985.5918,1378.9117

250660.8906,171.0605,8.4333,87582.9609,3261.5586,96615.2500,56.5007,4.9992,28928.3242,1353.7385

243389.3438,168.7084,8.3882,86378.7109,3140.2122,94426.1484,54.7095,4.9466,28011.2578,1328.2980

243895.9375,167.3209,8.3244,85668.3203,3164.5522,92269.5000,53.0972,4.9039,27185.7500,1301.6750

239897.3750,164.9942,8.2978,84477.0391,3108.4067,90558.2812,51.8270,4.8778,26535.4453,1280.4567

236649.9531,162.4151,8.1939,83156.5469,3069.8682,88682.0234,50.5811,4.8549,25897.5078,1255.6903

233567.2188,160.2766,8.1536,82061.5938,3030.1128,86927.8594,49.5833,4.8436,25386.6465,1230.8242

231172.8594,159.1285,8.1588,81473.8203,2993.9807,85563.6328,48.9197,4.8470,25046.8770,1210.3352

230310.3125,156.8749,8.0943,80319.9453,2999.8071,84461.0859,48.3917,4.8538,24776.5449,1193.6908

222018.3594,155.0943,8.0700,79408.2656,2852.2019,83462.7500,48.0476,4.8689,24600.3984,1177.2469

217633.1719,152.6258,8.0082,78144.4062,2789.7754,82626.3984,47.8798,4.8904,24514.4375,1162.2391

209874.5469,151.2418,8.0106,77435.8125,2648.7744,81914.0469,47.9193,4.9206,24534.6953,1147.5873

218346.0469,150.6507,7.9112,77133.1484,2824.2578,81302.2031,48.0037,4.9516,24577.8730,1134.4866

213401.4531,148.6631,7.8966,76115.5156,2745.7183,80618.5156,48.0695,4.9809,24611.5879,1120.1385

200622.4062,146.7098,7.9131,75115.4453,2510.1394,79546.0312,48.0278,5.0047,24590.2266,1099.1161

210130.9531,146.0499,7.8497,74777.5469,2707.0686,78209.9297,47.8668,5.0226,24507.8125,1074.0424

207157.3438,143.7359,7.8080,73592.7891,2671.2908,76558.6172,47.5573,5.0319,24349.3125,1044.1860

192800.2812,141.8381,7.7854,72621.1094,2403.5835,75250.8672,47.4035,5.0461,24270.6074,1019.6053

196342.4219,139.5599,7.7421,71454.6406,2497.7556,74418.8281,47.4086,5.0661,24273.2285,1002.9119

192147.5781,140.4036,7.7554,71886.6406,2405.2190,73489.8359,47.3176,5.0785,24226.6055,985.2646

195248.0312,137.7008,7.6924,70502.8281,2494.9041,72779.0391,47.3018,5.0933,24218.5371,971.2100

190225.0156,135.1489,7.6274,69196.2578,2420.5750,72038.5078,47.1283,5.0981,24129.6836,958.1766

180260.8594,132.9784,7.6223,68084.9453,2243.5183,71290.2344,46.9562,5.1025,24041.5840,944.9729

177766.4219,132.0882,7.6067,67629.1719,2202.7451,70496.5156,46.7193,5.1020,23920.2773,931.5247

175555.4844,130.2171,7.5519,66671.1484,2177.6865,70019.5703,46.5994,5.1056,23858.8926,923.2136

175172.2812,129.1926,7.5313,66146.6094,2180.5139,69349.1719,46.2975,5.0993,23704.3379,912.8967

172805.9844,127.9119,7.5003,65490.9141,2146.3010,68903.1875,46.0854,5.0957,23595.7305,906.1491

168850.0000,125.6571,7.4465,64336.4414,2090.2712,68446.4766,45.8497,5.0905,23475.0508,899.4284

174530.1406,124.6320,7.3906,63811.5625,2214.3716,67829.8828,45.5187,5.0795,23305.5664,890.4863

166811.9219,123.0429,7.3562,62997.9570,2076.2793,66956.7578,44.9540,5.0552,23016.4629,878.8058

167973.0156,121.9308,7.3245,62428.5703,2110.8887,65772.4141,44.2548,5.0242,22658.4609,862.2792

163507.1094,119.9280,7.2907,61403.1211,2042.0797,64561.1602,43.6111,4.9957,22328.8809,844.6455

156809.6875,116.8847,7.2363,59844.9492,1939.2949,63714.2539,43.1600,4.9752,22097.9238,832.3265

155535.2500,114.9517,7.1729,58855.2578,1933.5997,63211.3086,42.7304,4.9544,21877.9590,826.6671

153333.3125,114.4613,7.1832,58604.1875,1894.5826,62953.3984,42.4279,4.9401,21723.0840,824.6063

145269.7969,113.3275,7.1816,58023.6992,1744.9221,62951.2383,42.2591,4.9307,21636.6230,826.2922

146122.9219,111.2797,7.1387,56975.2305,1782.9534,63054.6758,42.1495,4.9222,21580.5254,829.4830

150262.1875,111.2399,7.0984,56954.8516,1866.1470,63045.2461,42.0387,4.9145,21523.8164,830.4286

145481.2969,108.9216,7.0281,55767.8555,1794.2687,63290.2109,42.1823,4.9181,21597.3418,833.8575

144573.6094,108.5917,7.0245,55598.9375,1779.4934,63440.3086,42.2367,4.9165,21625.2012,836.3021

141828.9375,105.9430,6.9605,54242.8359,1751.7223,63687.3984,42.3976,4.9209,21707.5703,839.5965

137196.0781,106.9607,6.9921,54763.8789,1648.6438,63898.4023,42.5114,4.9220,21765.8340,842.6515

145557.8281,107.8325,6.9997,55210.2461,1806.9519,64219.1641,42.7256,4.9268,21875.5234,846.8728

138935.6875,106.1347,6.9719,54340.9492,1691.8951,64544.6680,42.9602,4.9333,21995.6348,850.9806

135986.9844,106.3616,7.0070,54457.1289,1630.5970,64949.2344,43.2843,4.9437,22161.5703,855.7531

137544.1250,106.0345,6.9752,54289.6406,1665.0895,65339.5234,43.6183,4.9548,22332.5938,860.1386
